[2024-08-22 10:52:23,812: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-08-22 10:53:50,093: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-22 10:53:50,098: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-22 10:53:50,101: INFO: common: created directory at: artifacts]
[2024-08-22 10:53:50,103: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-08-22 11:00:37,765: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-22 11:00:37,770: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-22 11:00:37,774: INFO: common: created directory at: artifacts]
[2024-08-22 11:00:37,777: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-08-22 11:07:54,780: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-22 11:07:54,785: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-22 11:07:54,789: INFO: common: created directory at: artifacts]
[2024-08-22 11:07:54,792: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-08-22 11:12:29,433: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-22 11:12:29,439: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-22 11:12:29,441: INFO: common: created directory at: artifacts]
[2024-08-22 11:12:29,444: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-08-22 11:13:53,537: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-22 11:13:53,542: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-22 11:13:53,545: INFO: common: created directory at: artifacts]
[2024-08-22 11:13:53,548: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-08-22 11:17:38,279: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-22 11:17:38,286: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-22 11:17:38,288: INFO: common: created directory at: artifacts]
[2024-08-22 11:17:38,291: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-08-22 12:11:40,278: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-22 12:11:40,291: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-22 12:11:40,293: INFO: common: created directory at: artifacts]
[2024-08-22 12:11:40,295: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-08-22 12:13:16,647: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-22 12:13:16,652: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-22 12:13:16,655: INFO: common: created directory at: artifacts]
[2024-08-22 12:13:16,658: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-08-22 12:16:07,380: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-22 12:16:07,387: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-22 12:16:07,391: INFO: common: created directory at: artifacts]
[2024-08-22 12:16:07,394: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-08-22 12:19:47,857: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-08-22 12:19:47,863: INFO: common: yaml file: params.yaml loaded successfully]
[2024-08-22 12:19:47,866: INFO: common: created directory at: artifacts]
[2024-08-22 12:19:47,869: INFO: common: created directory at: artifacts/prepare_base_model]
